transaction_id,nlp_tags_consolidated
13021,"apart, coming, coming apart, replaced, replaced steering, replaced steering wheel, steering, steering wheel, wheel"
13028,"customer, customer states, heated, heated steering, heated steering wheel, ok, states, steering, steering wheel, wheel"
13021,"customer, customer states, replaced, replaced steering, states, steering"
13021,"replace, replace steering, replace steering wheel, steering, steering wheel, wheel"
13026,"removed, replaced, states"
13071,"heated, heated steering, heated steering wheel, replaced, replaced steering, replaced steering wheel, steering, steering wheel, wheel"
13021,"customer, customer states, states, states steering, states steering wheel, steering, steering wheel, trim, wheel"
13021,"customer, customer states, states, steering, steering wheel, wheel"
13074,"ok, removed, replaced, steering, steering wheel, trim, wheel"
13023,"customer, customer states, pra, replaced, replaced steering, replaced steering wheel, sop, states, steering, steering wheel, wheel"
13027,"customer, customer states, heated, heated steering, heated steering wheel, replaced, states, steering, steering wheel, wheel"
13025,"customer, customer states, ok, replaced, states, steering, steering wheel, wheel"
13023,"steering, steering wheel, wheel, ½ï, ½ï ½ï, ½ï ½ï ½ï"
13024,"0130, steering, steering wheel, wheel"
13026,ok
13025,"customer, customer states, replaced, replaced steering, replaced steering wheel, states, steering, steering wheel, trim, wheel"
13024,"0130, apart, coming, coming apart, customer, customer states, leather, states, steering, steering wheel, wheel"
13025,"customer, customer states, states, states steering, states steering wheel, steering, steering wheel, wheel"
13025,"apart, coming, coming apart, customer, customer states, replaced, replaced steering, replaced steering wheel, states, states steering, steering, steering wheel, wheel"
13025,"pra, replaced, replaced steering, replaced steering wheel, steering, steering wheel, wheel"
13025,"replace, replace steering, replace steering wheel, sop, steering, steering wheel, trim, wheel"
13073,"heated, heated steering, heated steering wheel, steering, steering wheel, wheel"
13037,"0130, customer, removed, replaced, replaced steering, replaced steering wheel, sop, steering, steering wheel, trim, wheel"
13025,"apart, coming, coming apart, customer, customer states, pra, replaced, replaced steering, replaced steering wheel, sop, states, steering, steering wheel, wheel"
13048,"leather, replaced, replaced steering, replaced steering wheel, steering, steering wheel, wheel"
13040,"leather, replaced, replaced steering, replaced steering wheel, states, states steering, states steering wheel, steering, steering wheel, wheel"
13025,"customer, customer states, ok, pra, replace, replace steering, replace steering wheel, states, states steering, states steering wheel, steering, steering wheel, wheel"
13029,"apart, coming, coming apart, leather, pra, states, steering, steering wheel, wheel"
13026,"customer, customer states, heated, heated steering, heated steering wheel, ok, removed, replaced, states, states steering, steering, steering wheel, wheel"
13029,"customer, customer states, heated, heated steering, heated steering wheel, replaced, sop, states, steering, steering wheel, wheel"
13029,"heated, heated steering, heated steering wheel, replaced, steering, steering wheel, wheel"
13030,"0130, heated, heated steering, heated steering wheel, ok, pra, replace, replaced, replaced steering, replaced steering wheel, steering, steering wheel, wheel"
13030,"customer, customer states, removed, replaced, replaced steering, replaced steering wheel, states, states steering, states steering wheel, steering, steering wheel, wheel"
13030,"ok, replace, replace steering, replace steering wheel, steering, steering wheel, trim, wheel"
13030,"0130, replace, replace steering, replace steering wheel, steering, steering wheel, wheel"
13026,"leather, replace, replace steering, replace steering wheel, steering, steering wheel, wheel"
13035,"apart, removed, replaced, replaced steering, replaced steering wheel, states, states steering, states steering wheel, steering, steering wheel, wheel"
13030,"customer, heated, heated steering, heated steering wheel, removed, steering, steering wheel, wheel"
13028,"apart, coming, coming apart, replaced, replaced steering, replaced steering wheel, steering, steering wheel, wheel"
13054,"customer, customer states, heated, heated steering, heated steering wheel, replace, replace steering, replace steering wheel, states, steering, steering wheel, wheel"
13056,"replace, replace steering, replace steering wheel, sop, steering, steering wheel, wheel"
13030,"steering, steering wheel, wheel"
13037,"customer, replace, replace steering, replace steering wheel, replaced, replaced steering, replaced steering wheel, sop, steering, steering wheel, wheel"
13033,"replaced, replaced steering, replaced steering wheel, states, steering, steering wheel, wheel"
13033,"apart, coming, coming apart, customer, replaced, steering, steering wheel, wheel"
13039,"customer, customer states, ok, pra, replaced, replaced steering, replaced steering wheel, states, steering, steering wheel, wheel"
13034,"customer, customer states, sop, states, steering, steering wheel, wheel"
13037,"0130, heated, heated steering, heated steering wheel, replace, replace steering, steering, steering wheel, wheel"
13033,"customer, leather, ok, steering, steering wheel, wheel"
13034,"replaced, replaced steering, replaced steering wheel, steering, steering wheel, wheel"
13034,"ok, steering, steering wheel, wheel"
13034,"replaced, replaced steering, replaced steering wheel, sop, states, states steering, states steering wheel, steering, steering wheel, wheel"
13042,"customer, customer states, heated, heated steering, heated steering wheel, removed, states, steering, steering wheel, wheel"
13035,"0130, customer, leather, pra, replace, replace steering, replace steering wheel, sop, steering, steering wheel, wheel"
13034,"coming, customer, customer states, replaced, replaced steering, replaced steering wheel, states, states steering, states steering wheel, steering, steering wheel, wheel"
13048,"customer, customer states, heated, heated steering, heated steering wheel, removed, replaced, replaced steering, replaced steering wheel, states, steering, steering wheel, wheel"
13036,"replaced, replaced steering, replaced steering wheel, sop, states, states steering, states steering wheel, steering, steering wheel, wheel"
13035,"0130, coming, leather, steering, steering wheel, wheel"
13042,"0130, customer, customer states, heated, heated steering, heated steering wheel, replace, replace steering, replace steering wheel, states, steering, steering wheel, wheel"
13035,"0130, pra, removed, replaced, replaced steering, replaced steering wheel, steering, steering wheel, wheel"
13043,"customer, customer states, removed, replaced, replaced steering, replaced steering wheel, states, steering, steering wheel, wheel"
13036,"customer, customer states, replaced, replaced steering, replaced steering wheel, states, states steering, states steering wheel, steering, steering wheel, wheel"
13039,"customer, customer states, replace, replace steering, replace steering wheel, states, states steering, states steering wheel, steering, steering wheel, wheel"
13036,"coming, customer, customer states, pra, sop, states, steering, steering wheel, wheel"
13037,"customer, customer states, heated, heated steering, heated steering wheel, pra, replaced, replaced steering, replaced steering wheel, states, steering, steering wheel, wheel"
13038,"0130, replace, replace steering, replace steering wheel, sop, steering, steering wheel, wheel"
13040,"coming, states, steering, steering wheel, wheel"
13037,"coming, leather, steering, steering wheel, wheel"
13039,"replaced, replaced steering, steering"
13038,"replaced, replaced steering, replaced steering wheel, sop, steering, steering wheel, wheel"
13044,"heated, heated steering, heated steering wheel, replace, replace steering, replace steering wheel, steering, steering wheel, wheel"
13038,"leather, pra, replace, steering, steering wheel, wheel"
13038,"coming, customer, customer states, replaced, states, steering, steering wheel, wheel"
13039,"coming, customer, customer states, removed, states, steering, steering wheel, wheel"
13041,"apart, coming, coming apart, replace, replace steering, replace steering wheel, sop, states, steering, steering wheel, wheel"
13042,
13065,
13052,
13039,
13045,
13039,
13045,
13041,
13041,
13044,
13045,
13041,
